id;amount;status;created_at;updated_at;user_id;moderated_at;deleted_account_id;reimbursement_date;cash_request_received_date;money_back_date;transfer_type;send_at;recovery_status;reco_creation;reco_last_update;payback_delay_days;payback_delay_days_cifra
15555;50.0;money_back;10/09/2020;18/12/2020;10276.0;10/09/2020;;;12/09/2020;22/10/2020;instant;17/09/2020;completed;16/10/2020;22/10/2020;<40 * Days>;40
14634;100.0;money_back;05/09/2020;18/12/2020;18531.0;;;;15/09/2020;04/11/2020;regular;12/09/2020;completed;16/10/2020;04/11/2020;<50 * Days>;50
21697;50.0;money_back;16/10/2020;18/12/2020;40198.0;;;26/10/2020;20/10/2020;26/10/2020;instant;16/10/2020;;;;<6 * Days>;6
17868;100.0;money_back;25/09/2020;18/12/2020;50243.0;;;;26/09/2020;07/11/2020;instant;02/10/2020;completed;16/10/2020;07/11/2020;<42 * Days>;42
21683;100.0;money_back;16/10/2020;18/12/2020;14669.0;;;;20/10/2020;01/11/2020;instant;19/10/2020;;;;<12 * Days>;12
14080;100.0;money_back;29/08/2020;18/12/2020;28356.0;30/08/2020;;;01/09/2020;03/11/2020;instant;05/09/2020;completed;16/10/2020;03/11/2020;<63 * Days>;63
21702;50.0;money_back;16/10/2020;18/12/2020;75784.0;;;;20/10/2020;02/11/2020;instant;16/10/2020;;;;<13 * Days>;13
21703;100.0;money_back;16/10/2020;18/12/2020;16850.0;17/10/2020;;;20/10/2020;05/11/2020;instant;16/10/2020;;;;<16 * Days>;16
21692;100.0;money_back;16/10/2020;18/12/2020;75728.0;;;;27/10/2020;07/11/2020;regular;23/10/2020;;;;<11 * Days>;11
12371;100.0;money_back;13/08/2020;18/12/2020;27099.0;14/08/2020;;;15/08/2020;16/10/2020;instant;20/08/2020;completed;16/10/2020;16/10/2020;<62 * Days>;62
15129;100.0;money_back;08/09/2020;18/12/2020;14938.0;08/09/2020;;;11/09/2020;16/10/2020;instant;15/09/2020;completed;16/10/2020;16/10/2020;<35 * Days>;35
16828;50.0;money_back;19/09/2020;18/12/2020;37931.0;19/09/2020;;06/10/2020;22/09/2020;16/10/2020;instant;26/09/2020;completed;16/10/2020;16/10/2020;<24 * Days>;24
24519;100.0;money_back;26/10/2020;18/12/2020;19492.0;;;;26/10/2020;27/11/2020;instant;26/10/2020;;;;<32 * Days>;32
16794;100.0;money_back;18/09/2020;18/12/2020;8506.0;19/09/2020;;;22/09/2020;16/10/2020;instant;25/09/2020;completed;16/10/2020;16/10/2020;<24 * Days>;24
21710;50.0;money_back;17/10/2020;18/12/2020;17792.0;;;;20/10/2020;27/11/2020;instant;17/10/2020;;;;<38 * Days>;38
21709;100.0;money_back;17/10/2020;18/12/2020;70635.0;;;;20/10/2020;11/11/2020;instant;17/10/2020;;;;<22 * Days>;22
21707;50.0;money_back;17/10/2020;18/12/2020;75928.0;;;;18/10/2020;29/10/2020;instant;17/10/2020;;;;<11 * Days>;11
21453;100.0;money_back;16/10/2020;18/12/2020;73427.0;;;26/10/2020;19/10/2020;06/11/2020;instant;16/10/2020;completed;06/11/2020;06/11/2020;<18 * Days>;18
21716;50.0;money_back;17/10/2020;18/12/2020;73085.0;;;;20/10/2020;13/11/2020;instant;17/10/2020;;;;<24 * Days>;24
15026;100.0;money_back;07/09/2020;18/12/2020;24448.0;08/09/2020;;;09/09/2020;04/11/2020;instant;14/09/2020;completed;16/10/2020;16/10/2020;<56 * Days>;56
21718;100.0;money_back;17/10/2020;18/12/2020;18635.0;;;;25/10/2020;15/11/2020;regular;24/10/2020;;;;<21 * Days>;21
15017;50.0;money_back;07/09/2020;18/12/2020;31094.0;08/09/2020;;;08/09/2020;06/11/2020;instant;14/09/2020;completed;22/10/2020;06/11/2020;<59 * Days>;59
16803;100.0;money_back;18/09/2020;18/12/2020;781.0;19/09/2020;;;22/09/2020;07/11/2020;instant;25/09/2020;completed;16/10/2020;07/11/2020;<46 * Days>;46
22328;100.0;money_back;20/10/2020;18/12/2020;80029.0;;;;21/10/2020;05/12/2020;instant;20/10/2020;;;;<45 * Days>;45
14733;100.0;money_back;05/09/2020;18/12/2020;8539.0;05/09/2020;;;15/09/2020;04/12/2020;regular;12/09/2020;completed;16/10/2020;04/12/2020;<80 * Days>;80
14575;100.0;money_back;04/09/2020;18/12/2020;10324.0;;;;08/09/2020;03/11/2020;instant;11/09/2020;completed;16/10/2020;03/11/2020;<56 * Days>;56
21705;100.0;money_back;17/10/2020;18/12/2020;36379.0;;;;20/10/2020;30/11/2020;instant;17/10/2020;;;;<41 * Days>;41
21711;100.0;money_back;17/10/2020;18/12/2020;74676.0;;;;19/10/2020;30/10/2020;instant;17/10/2020;;;;<11 * Days>;11
21720;100.0;money_back;17/10/2020;18/12/2020;16952.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21722;100.0;money_back;17/10/2020;18/12/2020;74826.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21731;100.0;money_back;17/10/2020;18/12/2020;67453.0;;;;20/10/2020;02/11/2020;instant;17/10/2020;;;;<13 * Days>;13
21732;100.0;money_back;17/10/2020;18/12/2020;73835.0;;;;19/10/2020;01/12/2020;instant;17/10/2020;;;;<43 * Days>;43
21730;100.0;money_back;17/10/2020;18/12/2020;46418.0;;;;20/10/2020;03/11/2020;instant;17/10/2020;;;;<14 * Days>;14
